/watch?v=1alVaiN66fM&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=98%2C (Kor, Eng) 세바시 470회 탁월함은 자기문답으로부터 나온다 | 시몽 뷔로 벡티스 VECTIS 대표, 글로벌 비즈니스 전문가
/watch?v=wbVMLu1iXWo&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=99%2C (Kor, Eng) 세바시 487회 천재들의 창의성이 우리들의 상식이 된다 | 신정호 이트리즈 대표
/watch?v=dnGyOipKyfk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=100%2C (Kor, Eng) 세바시 468회 열정을 만나면 정열이 솟는다 | 김윤규 청년장사꾼 대표
/watch?v=dnGyOipKyfk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=101%2C (Kor, Eng) 세바시 468회 열정을 만나면 정열이 솟는다 | 김윤규 청년장사꾼 대표
/watch?v=2CVK2XPseoE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=102&t=0s%2C 진정한 위로는 방향까지 제시한다 | 이철환 작가 | 세바시 134회
/watch?v=rxOz8PV_d50&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=103&t=0s%2C (Kor, Eng) 세바시 14회 태도의 힘 | 유인경 경향신문 선임기자
/watch?v=zCDaAhWxQ2Q&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=104&t=0s%2C (Kor) 세바시 343회 길을 잃는 것의 묘미 @박혜린 이노마드 대표
/watch?v=W1FP7TVg7ew&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=105&t=0s%2C (Kor) 세바시 493회 다윗처럼 시장을 선택하라 | 전화성 씨엔티테크 대표
/watch?v=zddQkL5HUAQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=106&t=0s%2C (Kor, Eng) 세바시 481회 남들이 하지 못했던 1% | 황철주 한국청년기업가정신재단 이사장, 주성엔지니어링 대표
/watch?v=zddQkL5HUAQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=107&t=0s%2C (Kor, Eng) 세바시 481회 남들이 하지 못했던 1% | 황철주 한국청년기업가정신재단 이사장, 주성엔지니어링 대표
/watch?v=rnkf8Uz374g&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=108&t=0s%2C 세계일주 22개월, 사람의 향기를 그리다 | 김물길 아트로드작가 | 세바시 482회
/watch?v=DPapoMGWSHY&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=109&t=0s%2C (Kor, Chn) 세바시 6회 이제는 세금혁명이다! | 선대인 김광수경제연구소부소장
/watch?v=LyG4q4dWfjw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=110&t=0s%2C (Kor, Eng) 세바시 136회 부모도 사랑받고 싶다! | 이호선 한국노인상담센터장
/watch?v=OQ-dWuMo6cU&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=111&t=0s%2C (Kor, Eng) 세바시 501회 기업가가 가장 먼저 사랑해야 할 사람 | 최승윤 오가다 대표
/watch?v=XQ0m1AOTQwc&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=112&t=0s%2C 나를 이끌어주는 비밀노트 | 장성은 MA+CH대표, 크리에이티브 디자이너 | 세바시 410회
/watch?v=XScA9iEPe5Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=113&t=0s%2C (Kor) 세바시 405회 아리랑, 세계일주 고개를 넘다 | 문현우 아리랑 유랑단 단장
/watch?v=KAJygBMVHa8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=114&t=0s%2C (Kor, Eng) 세바시 393회 트렌드코리아 2014 : 스웨그 신드롬에 주목하라 | 김난도 서울대 교수
/watch?v=4FqDHKDsoDE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=115&t=0s%2C (Kor) 세바시 376회 스윙, 흔들려봐야 세상을 흔들 수 있다! | 김잔디 스윙댄서
/watch?v=QDYFwWvQqfw&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=116&t=0s%2C (Kor) 세바시 335회 그래, 여기까지 잘 왔다 | 김창옥 서울여대 기독교학과 겸임교수
/watch?v=QPkdqUG379Y&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=117&t=0s%2C (Kor) 세바시 326회 세상을 바꾼 작은 용기 | 이환희 개포고등학교 2학년
/watch?v=ew8r1cyHkgM&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=118&t=0s%2C (Kor) 세바시 314회 한글, 그 가능성을 보다 | 석금호 산돌커뮤니케이션 대표
/watch?v=HKl99Bg6be4&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=119&t=0s%2C (Kor) 세바시 197회 나는 도구다 | 최영환 엠트리 대표
/watch?v=0xK5ytIsE2Q&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=120&t=0s%2C (Kor, Eng) 세바시 37회 꿈은 이루어진다! | 유지성 오지레이서
/watch?v=Bz515rjFRFI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=121&t=0s%2C (Kor) 세바시 2회 우리아이를 미래형 인재로 키워라 | 이범
/watch?v=ijjDioFrBDk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=122&t=0s%2C (Kor) 세바시 114회 편안함에 대한 고찰 | 이주희 (이주희이완연구소장)
/watch?v=WTqhKwtJXzI&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=123&t=0s%2C (Kor) 세바시 324회 당신의 가슴에는 어떤 이야기가 있습니까? | 안준희 핸드스튜디오 대표
/watch?v=0nPDU0krYmk&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=124&t=0s%2C 수업에서 아이들은 어떻게 배울까? | 손우정 배움의공동체연구회 대표 | 인생 강연 강의 듣기 교육 공부 수업 | 세바시 321회
/watch?v=3fLZsMloTn8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=125&t=0s%2C (Kor, Eng)세바시 248회 인생에 변명하지 마라 | 이영석 총각네야채가게 대표
/watch?v=vN-1h8tGSfc&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=126&t=0s%2C (Kor) 세바시 223회 이제는 스마트 부모 시대! | 이호선 서울벤처대학원대학교 교수
/watch?v=sV5GRMpDMGg&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=127&t=0s%2C (Kor) 세바시 200회 상현아, 적당히 처먹어라! | 김상현 국대떡볶이 대표
